year,producer_region,deforestation_risk,latitude,longitude,type
2005,Brazil,26049770,-14.235004,-51.92528,p
2005,RoW America,9222650,-9.189967,-75.015152,p
2005,RoW Africa,8531290,-6.199387, 27.162474,p
2005,Indonesia,4014020,	-0.789275, 113.921327,p
2005,RoW Asia and Pacific,2133660,17.108716, 102.905972,p
2005,Australia,978430,-25.274398, 133.775136,p
2005,Mexico,631250,23.634501, -102.552784,p
2005,India,480110,20.593684, 78.96288,p
2005,South Africa,442750,-30.559482, 22.937506,p
2005,Turkey,220770,38.963745, 35.243322,p
2005,Japan,29200,36.204824, 138.252924,p
2005,RoW Middle East,7770,29.448479, 70.317587,p
2005,Cyprus,400,35.126413, 33.429859,p
2005,RoW Europe,110,47.839163, 6.474374,p
2006,Brazil,25059820,-14.235004,-51.92528,p
2006,RoW America,9445710,-9.189967,-75.015152,p
2006,RoW Africa,8879060,-6.199387, 27.162474,p
2006,Indonesia,4838700,-0.789275, 113.921327,p
2006,RoW Asia and Pacific,2393660,17.108716, 102.905972,p
2006,Australia,978400,-25.274398, 133.775136,p
2006,India,487570,20.593684, 78.96288,p
2006,South Africa,414770,-30.559482, 22.937506,p
2006,Mexico,413560,23.634501, -102.552784,p
2006,Turkey,226710,38.963745, 35.243322,p
2006,Japan,39500,36.204824, 138.252924,p
2006,RoW Middle East,7090,29.448479, 70.317587,p
2006,Cyprus,400,35.126413, 33.429859,p
2006,RoW Europe,110,47.839163, 6.474374,p
2007,Brazil,22202410,-14.235004,-51.92528,p
2007,RoW America,10092220,-9.189967,-75.015152,p
2007,RoW Africa,9301430,-6.199387, 27.162474,p
2007,Indonesia,5443900,-0.789275, 113.921327,p
2007,RoW Asia and Pacific,2670040,17.108716, 102.905972,p
2007,Australia,978390,-25.274398, 133.775136,p
2007,India,517180,20.593684, 78.96288,p
2007,South Africa,396800,-30.559482, 22.937506,p
2007,Mexico,330190,23.634501, -102.552784,p
2007,Turkey,226030,38.963745, 35.243322,p
2007,Japan,44980,36.204824, 138.252924,p
2007,RoW Middle East,9540,29.448479, 70.317587,p
2007,Cyprus,1850,35.126413, 33.429859,p
2007,RoW Europe,100,47.839163, 6.474374,p
2008,Brazil,19382360,-14.235004,-51.92528,p
2008,RoW America,10736140,-9.189967,-75.015152,p
2008,RoW Africa,10220910,-6.199387, 27.162474,p
2008,Indonesia,6015370,-0.789275, 113.921327,p
2008,RoW Asia and Pacific,2987150,17.108716, 102.905972,p
2008,Australia,978410,-25.274398, 133.775136,p
2008,India,575290,20.593684, 78.96288,p
2008,South Africa,358730,-30.559482, 22.937506,p
2008,Turkey,248510,38.963745, 35.243322,p
2008,Mexico,247930,23.634501, -102.552784,p
2008,Japan,51800,36.204824, 138.252924,p
2008,RoW Middle East,11530,29.448479, 70.317587,p
2008,Cyprus,2000,35.126413, 33.429859,p
2008,RoW Europe,110,47.839163, 6.474374,p
2009,Brazil,16166350,-14.235004,-51.92528,p
2009,RoW Africa,11474080,-6.199387, 27.162474,p
2009,RoW America,10268410,-9.189967,-75.015152,p
2009,Indonesia,6163810,-0.789275, 113.921327,p
2009,RoW Asia and Pacific,3290300,17.108716, 102.905972,p
